epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,344.624,0.98449,0.86415,1.39934,0.94644,1,0.995,0.69619,1.20061,0.83171,1.45133,0.000143097,0.000143097,0.000143097
90,348.017,0.89736,0.92266,1.20672,0.93931,0.99512,0.995,0.68365,1.2048,0.81837,1.45874,0.000132098,0.000132098,0.000132098
91,393.172,0.67534,0.88183,1.02191,0.92934,0.99259,0.995,0.68932,1.20777,0.81058,1.48825,0.000121099,0.000121099,0.000121099
92,396.485,0.661,0.75889,1.03047,0.92181,0.99185,0.995,0.67282,1.23175,0.82522,1.52377,0.0001101,0.0001101,0.0001101
93,399.536,0.62403,0.73802,1.08451,0.92181,0.99185,0.995,0.67282,1.23175,0.82522,1.52377,9.91012e-05,9.91012e-05,9.91012e-05
94,402.534,0.88229,0.80717,1.3705,0.91587,0.99079,0.995,0.65107,1.24564,0.83573,1.53369,8.81023e-05,8.81023e-05,8.81023e-05
95,405.465,0.72234,0.75071,1.15599,0.91316,0.99066,0.995,0.66482,1.2448,0.84194,1.52425,7.71034e-05,7.71034e-05,7.71034e-05
96,408.441,0.57493,0.65134,0.94728,0.91052,0.99036,0.995,0.67573,1.23825,0.84694,1.50692,6.61045e-05,6.61045e-05,6.61045e-05
97,411.309,0.7559,0.73463,1.1756,0.91052,0.99036,0.995,0.67573,1.23825,0.84694,1.50692,5.51056e-05,5.51056e-05,5.51056e-05
98,414.233,0.70257,0.80707,1.03075,0.90998,0.99031,0.995,0.67268,1.2269,0.85465,1.49339,4.41067e-05,4.41067e-05,4.41067e-05
99,417.265,0.86118,0.74589,1.34951,0.91282,0.99006,0.995,0.67261,1.21677,0.85028,1.48041,3.31078e-05,3.31078e-05,3.31078e-05
100,420.235,0.69936,0.77425,1.09221,0.91216,0.99011,0.995,0.67882,1.20836,0.85039,1.47391,2.21089e-05,2.21089e-05,2.21089e-05
